용도,면적,국적,허가,구,동,연도
기타,220.0,미국,0.0,덕양구,화전동,19
기타,227.0,미국,0.0,덕양구,화전동,19
기타,363.0,미국,0.0,덕양구,화전동,19
기타,464.0,미국,0.0,덕양구,화전동,19
기타,839.0,미국,0.0,덕양구,화전동,19
주택용지(그 밖의 주택),38.32,중국,0.0,덕양구,고양동,19
주택용지(단독주택),340.0,캐나다,0.0,덕양구,삼송동,19
주택용지(아파트),32.2,미국,0.0,덕양구,토당동,19
주택용지(그 밖의 주택),37.82,중국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),28.91,미국,0.0,덕양구,행신동,19
주택용지(아파트),10.048863,오스트레일리아,0.0,덕양구,화정동,19
주택용지(아파트),10.050137,오스트레일리아,0.0,덕양구,화정동,19
주택용지(아파트),34.927,미국,0.0,덕양구,화정동,19
기타,14925.5,오스트레일리아,0.0,덕양구,현천동,19
주택용지(그 밖의 주택),24.2577,미국,0.0,덕양구,동산동,19
주택용지(아파트),35.156,중국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),24.2577,미국,1.0,덕양구,동산동,19
기타,57.179487,미국,0.0,덕양구,주교동,19
기타,10.128205,미국,0.0,덕양구,주교동,19
기타,86.923077,미국,0.0,덕양구,주교동,19
기타,552.179487,미국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),30.48,미국,0.0,덕양구,주교동,19
주택용지(아파트),35.156,중국,0.0,덕양구,화정동,19
주택용지(아파트),37.03,중국,0.0,덕양구,주교동,19
주택용지(아파트),25.26,미국,0.0,덕양구,토당동,19
주택용지(아파트),14.41,러시아,0.0,덕양구,행신동,19
주택용지(아파트),14.41,러시아,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),16.9758,미국,0.0,덕양구,동산동,19
주택용지(아파트),51.33,미국,0.0,덕양구,도내동,19
주택용지(아파트),35.156,미국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),29.33,중국,0.0,덕양구,성사동,19
주택용지(아파트),43.818,미국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),7.4787,미국,0.0,덕양구,원흥동,19
주택용지(그 밖의 주택),16.83,미국,0.0,덕양구,원흥동,19
주택용지(아파트),35.121,일본,0.0,덕양구,화정동,19
주택용지(아파트),9.245,중국,0.0,덕양구,주교동,19
주택용지(아파트),7.71278,미국,0.0,덕양구,행신동,19
주택용지(아파트),19.85572,미국,0.0,덕양구,행신동,19
기타,37.44,미국,0.0,덕양구,원당동,19
기타,51.33,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,473.78,미국,0.0,덕양구,원당동,19
기타,37.44,미국,0.0,덕양구,원당동,19
기타,51.33,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,462.0,미국,0.0,덕양구,원당동,19
기타,473.78,미국,0.0,덕양구,원당동,19
기타,1197.0,일본,0.0,덕양구,내유동,19
주택용지(단독주택),46.6667,오스트레일리아,0.0,덕양구,주교동,19
기타,14.9662,중국,0.0,덕양구,삼송동,19
기타,1.0,미국,0.0,덕양구,삼송동,19
기타,12.0,미국,0.0,덕양구,삼송동,19
기타,106.0,미국,0.0,덕양구,삼송동,19
기타,1.2308,미국,0.0,덕양구,삼송동,19
기타,12.9231,미국,0.0,덕양구,삼송동,19
기타,15.5385,미국,0.0,덕양구,삼송동,19
기타,25.1538,미국,0.0,덕양구,삼송동,19
기타,50.3077,미국,0.0,덕양구,삼송동,19
기타,62.7692,미국,0.0,덕양구,삼송동,19
기타,108.3077,미국,0.0,덕양구,삼송동,19
기타,254.5385,미국,0.0,덕양구,삼송동,19
주택용지(아파트),37.03,중국,0.0,덕양구,주교동,19
기타,1197.0,일본,1.0,덕양구,내유동,19
기타,14.9662,중국,1.0,덕양구,삼송동,19
주택용지(그 밖의 주택),16.59,중국,0.0,덕양구,주교동,19
주택용지(단독주택),7.6282,미국,0.0,덕양구,주교동,19
주택용지(아파트),39.383,중국,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),68.5,중국,0.0,덕양구,관산동,19
주택용지(그 밖의 주택),60.15,중국,0.0,덕양구,삼송동,19
주택용지(그 밖의 주택),1729.93,미국,0.0,덕양구,원흥동,19
기타,18.722,미국,0.0,덕양구,원당동,19
기타,25.667,미국,0.0,덕양구,원당동,19
기타,959.33,미국,0.0,덕양구,원당동,19
기타,236.889,미국,0.0,덕양구,원당동,19
주택용지(그 밖의 주택),4.092015,중국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),4.153985,중국,0.0,덕양구,행신동,19
주택용지(아파트),30.0,미국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),21.23,중국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),40.14,미국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),12.12885,중국,0.0,덕양구,동산동,19
주택용지(그 밖의 주택),12.12885,중국,0.0,덕양구,동산동,19
기타,12.1289,중국,1.0,덕양구,동산동,19
기타,12.1289,중국,1.0,덕양구,동산동,19
주택용지(그 밖의 주택),37.75,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),40.375,중국,1.0,덕양구,내유동,19
기타,2.241,캐나다,0.0,덕양구,성사동,19
기타,3.152,캐나다,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),11.08485,미국,0.0,덕양구,동산동,19
주택용지(아파트),25.7375,오스트레일리아,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),10.489,중국,0.0,덕양구,주교동,19
기타,16.9084,미국,0.0,덕양구,동산동,19
주택용지(아파트),25.8492,말레이지아,0.0,덕양구,향동동,19
주택용지(그 밖의 주택),37.75,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),40.375,중국,1.0,덕양구,내유동,19
주택용지(그 밖의 주택),16.9084,미국,1.0,덕양구,동산동,19
주택용지(아파트),25.8492,말레이지아,1.0,덕양구,향동동,19
주택용지(그 밖의 주택),14.8911,미국,0.0,덕양구,삼송동,19
주택용지(아파트),30.714,미국,0.0,덕양구,행신동,19
기타,340.32,미국,0.0,덕양구,성사동,19
기타,399.12,미국,0.0,덕양구,성사동,19
주택용지(아파트),19.155,베트남,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),74.59,중국,0.0,덕양구,내유동,19
주택용지(아파트),4.598167,대만,0.0,덕양구,행신동,19
주택용지(아파트),11.837483,대만,0.0,덕양구,행신동,19
공장용지,680.0,대만,0.0,덕양구,관산동,19
주택용지(아파트),12.714,중국,0.0,덕양구,행신동,19
주택용지(아파트),12.714,중국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),4.6916,중국,0.0,덕양구,도내동,19
주택용지(그 밖의 주택),14.8911,미국,1.0,덕양구,삼송동,19
주택용지(그 밖의 주택),7.609,미국,1.0,덕양구,삼송동,19
주택용지(단독주택),190.906,미국,1.0,덕양구,오금동,19
주택용지(단독주택),200.7424,미국,1.0,덕양구,오금동,19
주택용지(그 밖의 주택),11.7128,미국,0.0,덕양구,삼송동,19
기타,991.74,중국,0.0,덕양구,벽제동,19
기타,330.58,중국,0.0,덕양구,벽제동,19
기타,495.87,중국,0.0,덕양구,벽제동,19
기타,205.0,캐나다,0.0,덕양구,대자동,19
기타,665.0,캐나다,0.0,덕양구,대자동,19
기타,720.0,캐나다,0.0,덕양구,대자동,19
기타,1983.0,캐나다,0.0,덕양구,대자동,19
기타,21295.0,캐나다,0.0,덕양구,대자동,19
기타,9.2209,중국,0.0,덕양구,동산동,19
기타,1786.15,미국,0.0,덕양구,현천동,19
주택용지(아파트),37.5288,미국,0.0,덕양구,토당동,19
주택용지(아파트),37.5288,미국,0.0,덕양구,토당동,19
주택용지(그 밖의 주택),24.69,중국,0.0,덕양구,고양동,19
기타,495.87,중국,1.0,덕양구,벽제동,19
기타,330.58,중국,1.0,덕양구,벽제동,19
기타,991.74,중국,1.0,덕양구,벽제동,19
기타,201.66,중국,1.0,덕양구,벽제동,19
주택용지(그 밖의 주택),14.9586,캐나다,1.0,덕양구,삼송동,19
주택용지(아파트),88.0,미국,0.0,덕양구,토당동,19
주택용지(아파트),23.5,미국,0.0,덕양구,토당동,19
주택용지(아파트),59.5,미국,0.0,덕양구,토당동,19
주택용지(아파트),17.7277,미국,0.0,덕양구,토당동,19
기타,201.66,중국,0.0,덕양구,벽제동,19
주택용지(아파트),22.0,뉴질랜드,0.0,덕양구,행신동,19
주택용지(아파트),35.148,미국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),14.9586,캐나다,0.0,덕양구,삼송동,19
주택용지(아파트),56.3352,미국,0.0,덕양구,향동동,19
상업용지,7.0,중국,0.0,덕양구,동산동,19
상업용지,130.0,중국,0.0,덕양구,동산동,19
주택용지(그 밖의 주택),191.0104,중국,1.0,덕양구,오금동,19
기타,7.0,중국,1.0,덕양구,동산동,19
기타,130.0,중국,1.0,덕양구,동산동,19
기타,201.66,중국,1.0,덕양구,벽제동,19
주택용지(아파트),56.3352,미국,1.0,덕양구,향동동,19
주택용지(그 밖의 주택),4.6916,미국,0.0,덕양구,도내동,19
기타,201.66,중국,0.0,덕양구,벽제동,19
주택용지(아파트),50.7513,캐나다,0.0,덕양구,성사동,19
주택용지(아파트),33.0,대만,0.0,덕양구,행신동,19
주택용지(아파트),62.805,미국,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),14.9662,미국,0.0,덕양구,삼송동,19
주택용지(아파트),51.34,미국,0.0,덕양구,도내동,19
기타,1320.0,대만,0.0,덕양구,내곡동,19
기타,66.0,중국,0.0,덕양구,내곡동,19
기타,165.29,중국,0.0,덕양구,벽제동,19
상업용지,7.62,중국,0.0,덕양구,화정동,19
주택용지(그 밖의 주택),22.438,미국,0.0,덕양구,관산동,19
기타,66.0,미국,0.0,덕양구,내곡동,19
기타,165.29,중국,1.0,덕양구,벽제동,19
주택용지(그 밖의 주택),14.9662,미국,1.0,덕양구,삼송동,19
주택용지(아파트),30.6206,중국,1.0,덕양구,지축동,19
기타,71.31,중국,0.0,덕양구,내유동,19
주택용지(아파트),37.5288,중국,0.0,덕양구,토당동,19
주택용지(아파트),21.3,중국,0.0,덕양구,토당동,19
주택용지(아파트),30.6206,중국,0.0,덕양구,지축동,19
주택용지(아파트),34.0,대만,0.0,덕양구,행신동,19
주택용지(아파트),25.41,대만,0.0,덕양구,행신동,19
기타,263.8,캐나다,0.0,덕양구,내유동,19
주택용지(아파트),25.41,대만,0.0,덕양구,행신동,19
주택용지(아파트),31.634,중국,0.0,덕양구,행신동,19
주택용지(그 밖의 주택),13.54,미국,0.0,덕양구,토당동,19
주택용지(아파트),32.4,미국,0.0,덕양구,주교동,19
주택용지(그 밖의 주택),14.9662,미국,0.0,덕양구,삼송동,19
주택용지(그 밖의 주택),10.489,중국,0.0,덕양구,주교동,19
주택용지(아파트),30.6206,중국,1.0,덕양구,지축동,19
주택용지(그 밖의 주택),14.9662,미국,1.0,덕양구,삼송동,19
주택용지(아파트),25.41,중국,0.0,덕양구,행신동,19
기타,1547.180556,미국,0.0,덕양구,화정동,19
기타,160.243056,미국,0.0,덕양구,화정동,19
기타,203.170139,미국,0.0,덕양구,화정동,19
기타,206.645833,미국,0.0,덕양구,화정동,19
기타,161.597222,미국,0.0,덕양구,화정동,19
기타,47.666667,미국,0.0,덕양구,화정동,19
기타,181.006944,미국,0.0,덕양구,화정동,19
기타,196.579861,미국,0.0,덕양구,화정동,19
기타,3.295139,미국,0.0,덕양구,화정동,19
기타,656.545139,미국,0.0,덕양구,화정동,19
기타,35.163194,미국,0.0,덕양구,화정동,19
기타,519.59375,미국,0.0,덕양구,성사동,19
기타,298.006944,미국,0.0,덕양구,성사동,19
기타,267.402778,미국,0.0,덕양구,성사동,19
기타,2.663194,미국,0.0,덕양구,성사동,19
기타,4.714286,미국,0.0,덕양구,성사동,19
기타,0.571429,미국,0.0,덕양구,성사동,19
기타,0.619048,미국,0.0,덕양구,도내동,19
기타,8.809524,미국,0.0,덕양구,대장동,19
기타,330.0,캐나다,0.0,덕양구,성사동,19
기타,269.0,캐나다,0.0,덕양구,성사동,19
기타,135.0,캐나다,0.0,덕양구,성사동,19
기타,61.0,캐나다,0.0,덕양구,성사동,19
주택용지(아파트),37.575,미국,0.0,덕양구,행신동,19
주택용지(단독주택),1654.1,미국,0.0,덕양구,내유동,19
주택용지(그 밖의 주택),18.23,캐나다,0.0,덕양구,대장동,19
주택용지(그 밖의 주택),14.96,중국,0.0,덕양구,삼송동,19
주택용지(아파트),29.43,대만,0.0,덕양구,성사동,19
주택용지(그 밖의 주택),21.63,대만,0.0,덕양구,관산동,19
주택용지(아파트),54.34,미국,0.0,덕양구,도내동,19
주택용지(그 밖의 주택),3.6118,중국,0.0,덕양구,도내동,19
주택용지(그 밖의 주택),14.9582,중국,1.0,덕양구,삼송동,19
주택용지(그 밖의 주택),1654.1,미국,1.0,덕양구,내유동,19
기타,82.4375,중국,1.0,덕양구,내유동,19
주택용지(아파트),60.043,뉴질랜드,1.0,덕양구,동산동,19
주택용지(그 밖의 주택),5.1165,미국,1.0,덕양구,덕은동,19
기타,6.6453,중국,1.0,덕양구,덕은동,19
기타,6.6453,중국,1.0,덕양구,덕은동,19
기타,3146.5,중국,0.0,덕양구,용두동,20
기타,472.0,중국,0.0,덕양구,용두동,20
기타,2674.5,중국,0.0,덕양구,용두동,20
기타,358.5,미국,0.0,덕양구,토당동,20
기타,2073.5,미국,0.0,덕양구,토당동,20
주택용지(아파트),34.81,대만,0.0,덕양구,행신동,20
주택용지(아파트),60.04,뉴질랜드,0.0,덕양구,동산동,20
기타,49.0,중국,0.0,덕양구,주교동,20
주택용지(아파트),24.722,미국,0.0,덕양구,행신동,20
기타,66.0,중국,0.0,덕양구,주교동,20
주택용지(아파트),63.6049,영국,0.0,덕양구,신원동,20
주택용지(그 밖의 주택),75.3,몽골,0.0,덕양구,내유동,20
주택용지(아파트),53.7443,중국,0.0,덕양구,신원동,20
주택용지(아파트),19.71795,중국,0.0,덕양구,향동동,20
주택용지(아파트),18.63,중국,0.0,덕양구,주교동,20
주택용지(아파트),27.17,미국,0.0,덕양구,도내동,20
주택용지(아파트),27.17,미국,0.0,덕양구,도내동,20
주택용지(그 밖의 주택),5.54,중국,0.0,덕양구,화정동,20
주택용지(그 밖의 주택),30.236,중국,0.0,덕양구,성사동,20
주택용지(아파트),83.74,중국,0.0,덕양구,삼송동,20
주택용지(아파트),39.85,캐나다,0.0,덕양구,삼송동,20
주택용지(아파트),39.85,캐나다,0.0,덕양구,삼송동,20
주택용지(그 밖의 주택),75.3,몽골,1.0,덕양구,내유동,20
주택용지(아파트),53.7443,중국,1.0,덕양구,신원동,20
주택용지(아파트),19.71795,중국,1.0,덕양구,향동동,20
주택용지(그 밖의 주택),5.1165,미국,0.0,덕양구,덕은동,20
기타,6.65,중국,0.0,덕양구,덕은동,20
기타,6.65,중국,0.0,덕양구,덕은동,20
주택용지(아파트),62.8,캐나다,0.0,덕양구,성사동,20
주택용지(아파트),38.98,중국,0.0,덕양구,주교동,20
주택용지(아파트),29.43,대만,0.0,덕양구,성사동,20
주택용지(아파트),7.71,중국,0.0,덕양구,행신동,20
주택용지(아파트),19.86,중국,0.0,덕양구,행신동,20
주택용지(그 밖의 주택),3.26,중국,0.0,덕양구,동산동,20
주택용지(그 밖의 주택),7.82,중국,0.0,덕양구,동산동,20
주택용지(그 밖의 주택),3.26,중국,0.0,덕양구,동산동,20
주택용지(그 밖의 주택),7.82,중국,0.0,덕양구,동산동,20
주택용지(아파트),42.094,오스트레일리아,0.0,덕양구,성사동,20
주택용지(아파트),41.115,오스트레일리아,0.0,덕양구,성사동,20
기타,2298.0,미국,0.0,덕양구,원당동,20
주택용지(아파트),29.96,중국,0.0,덕양구,신원동,20
주택용지(아파트),29.96,중국,0.0,덕양구,신원동,20
주택용지(그 밖의 주택),10.67,중국,0.0,덕양구,주교동,20
기타,11.08485,중국,1.0,덕양구,동산동,20
기타,11.8485,중국,1.0,덕양구,동산동,20
기타,11.08485,중국,1.0,덕양구,동산동,20
상업용지,13.1788,오스트레일리아,0.0,덕양구,원흥동,20
주택용지(아파트),21.2,중국,0.0,덕양구,성사동,20
주택용지(아파트),72.3735,뉴질랜드,0.0,덕양구,신원동,20
주택용지(그 밖의 주택),37.81,카자흐스탄,0.0,덕양구,효자동,20
주택용지(그 밖의 주택),5.4,카자흐스탄,0.0,덕양구,효자동,20
주택용지(그 밖의 주택),1.22,카자흐스탄,0.0,덕양구,효자동,20
주택용지(그 밖의 주택),2.09,카자흐스탄,0.0,덕양구,효자동,20
기타,56.653,캐나다,0.0,덕양구,화정동,20
주택용지(그 밖의 주택),53.88,중국,0.0,덕양구,관산동,20
기타,13.1788,중국,0.0,덕양구,원흥동,20
기타,12.39,캐나다,0.0,덕양구,원흥동,20
기타,13.1788,미국,0.0,덕양구,원흥동,20
기타,13.1788,미국,0.0,덕양구,원흥동,20
기타,13.1788,대만,0.0,덕양구,원흥동,20
기타,448.75,미국,0.0,덕양구,현천동,20
기타,448.75,미국,1.0,덕양구,현천동,20
기타,157.53,미국,1.0,덕양구,향동동,20
기타,289.07,미국,1.0,덕양구,향동동,20
주택용지(그 밖의 주택),19.77,중국,0.0,덕양구,주교동,20
주택용지(그 밖의 주택),265.0,뉴질랜드,0.0,덕양구,지축동,20
주택용지(아파트),22.52,미국,0.0,덕양구,행신동,20
주택용지(아파트),36.21,일본,0.0,덕양구,화정동,20
주택용지(아파트),25.428,중국,0.0,덕양구,행신동,20
주택용지(단독주택),59.0,중국,0.0,덕양구,내유동,20
주택용지(아파트),21.45,중국,0.0,덕양구,행신동,20
주택용지(그 밖의 주택),14.78,중국,0.0,덕양구,주교동,20
기타,316.0,미국,0.0,덕양구,삼송동,20
기타,22.0,미국,0.0,덕양구,삼송동,20
기타,59.0,미국,0.0,덕양구,삼송동,20
기타,299.0,미국,0.0,덕양구,삼송동,20
기타,1650.0,미국,0.0,덕양구,삼송동,20
기타,13.51,중국,0.0,덕양구,덕은동,20
주택용지(아파트),54.472,미국,0.0,덕양구,화정동,20
주택용지(아파트),64.2,중국,0.0,덕양구,동산동,20
주택용지(아파트),81.5798,대만,0.0,덕양구,신원동,20
기타,49.0,중국,0.0,덕양구,내곡동,20
기타,7.4,캐나다,0.0,덕양구,향동동,20
기타,7.3998,캐나다,0.0,덕양구,향동동,20
기타,5.87,캐나다,0.0,덕양구,향동동,20
기타,5.8,캐나다,0.0,덕양구,향동동,20
주택용지(아파트),52.069,일본,0.0,덕양구,화정동,20
주택용지(그 밖의 주택),18.58,미국,0.0,덕양구,성사동,20
주택용지(아파트),39.05,캐나다,0.0,덕양구,고양동,20
주택용지(아파트),40.356,중국,0.0,덕양구,화정동,20
주택용지(아파트),43.298,미국,0.0,덕양구,주교동,20
주택용지(아파트),35.5765,미국,0.0,덕양구,행신동,20
주택용지(그 밖의 주택),53.26,프랑스,0.0,덕양구,내유동,20
주택용지(그 밖의 주택),23.07,중국,0.0,덕양구,성사동,20
주택용지(아파트),34.121,미국,0.0,덕양구,화정동,20
주택용지(아파트),46.23,오스트레일리아,0.0,덕양구,행신동,20
주택용지(아파트),10.56,중국,0.0,덕양구,주교동,20
주택용지(아파트),22.0,프랑스,0.0,덕양구,행신동,20
기타,5121.0,미국,0.0,덕양구,선유동,20
기타,13.1788,오스트레일리아,0.0,덕양구,원흥동,20
주택용지(아파트),35.148,중국,0.0,덕양구,화정동,20
주택용지(그 밖의 주택),1.0,중국,0.0,덕양구,도내동,20
주택용지(그 밖의 주택),1.0,중국,0.0,덕양구,도내동,20
기타,79.0,오스트레일리아,0.0,덕양구,행주외동,20
기타,218.0,오스트레일리아,0.0,덕양구,행주외동,20
주택용지(아파트),9.2,미국,0.0,덕양구,행신동,20
주택용지(아파트),23.67,미국,0.0,덕양구,행신동,20
주택용지(그 밖의 주택),9.18,중국,0.0,덕양구,주교동,20
주택용지(그 밖의 주택),9.18,중국,0.0,덕양구,주교동,20
주택용지(그 밖의 주택),84.3411,캐나다,0.0,덕양구,오금동,20
기타,539.8181,미국,0.0,덕양구,토당동,20
기타,5.1165,대만,0.0,덕양구,덕은동,20
기타,1418.0,미국,0.0,덕양구,향동동,20
기타,2602.0,미국,0.0,덕양구,향동동,20
기타,54.15,미국,0.0,덕양구,삼송동,20
기타,254.54,미국,0.0,덕양구,삼송동,20
기타,62.77,미국,0.0,덕양구,삼송동,20
기타,50.31,미국,0.0,덕양구,삼송동,20
기타,1.54,미국,0.0,덕양구,삼송동,20
기타,1.23,미국,0.0,덕양구,삼송동,20
기타,1.0,미국,0.0,덕양구,삼송동,20
기타,12.0,미국,0.0,덕양구,삼송동,20
기타,69.23,미국,0.0,덕양구,삼송동,20
기타,18.92,미국,0.0,덕양구,삼송동,20
기타,106.0,미국,0.0,덕양구,삼송동,20
